OBJECTID,FEATTYPE,TYPE,MAPNUMBER,CREATED,RETIRED,PID,SYMBOL,TEXTNOTE,SHAPE_Leng,geometry
2586,Runway Centreline,5,I5602,2006-05-09,,1003991,0,,0.00746904277669,"LINESTRING (152.56754999999998 -31.95356, 152.5695 -31.94635)"
2587,Runway Centreline,5,I5602,2006-05-09,,1003992,0,,0.00559697239585,"LINESTRING (151.54289 -32.60991, 151.54095 -32.60466)"
2588,Runway Centreline,5,I5602,2006-05-09,,1003993,0,,0.00652938741384,"LINESTRING (151.67024 -32.88496, 151.67472 -32.88021)"
2590,Runway Centreline,5,J5505,2006-05-09,,1004010,706,,0.00699929282141,"LINESTRING (145.06213 -37.00009, 145.06727999999998 -36.99535)"
2591,Runway Centreline,5,J5505,2006-05-09,,1004011,706,,0.00856512113166,"LINESTRING (144.83681 -37.66154, 144.83524 -37.65312)"
2592,Runway Centreline,5,J5505,2006-05-09,,1004012,706,,0.0143195844912,"LINESTRING (144.82252 -37.66062, 144.83681 -37.66154)"
2593,Runway Centreline,5,J5505,2006-05-09,,1004013,706,,0.0114040343738,"LINESTRING (144.83681 -37.66154, 144.84819 -37.66228)"
2594,Runway Centreline,5,J5505,2006-05-09,,1004014,706,,0.0247838051961,"LINESTRING (144.84132 -37.68591, 144.83681 -37.66154)"
2595,Runway Centreline,5,J5505,2006-05-09,,1004015,706,,0.0128356262021,"LINESTRING (144.90169 -37.73136, 144.91452 -37.73098)"
2596,Runway Centreline,5,J5505,2006-05-09,,1004016,706,,0.0107212032907,"LINESTRING (144.90169 -37.73136, 144.90120000000002 -37.72065)"
2597,Runway Centreline,5,J5505,2006-05-09,,1004017,706,,0.00780339028885,"LINESTRING (144.89389 -37.73159, 144.90169 -37.73136)"
2598,Runway Centreline,5,J5505,2006-05-09,,1004018,706,,0.00317308997666,"LINESTRING (144.90183 -37.73453, 144.90169 -37.73136)"
2599,Runway Centreline,5,J5505,2006-05-09,,1004019,706,,0.00236681220211,"LINESTRING (144.75436 -37.930930000000004, 144.75629 -37.92956)"
2600,Runway Centreline,5,J5505,2006-05-09,,1004020,706,,0.00667785145088,"LINESTRING (144.75436 -37.930930000000004, 144.75365 -37.92429)"
2601,Runway Centreline,5,J5505,2006-05-09,,1004021,706,,0.00553049726516,"LINESTRING (144.75494 -37.93643, 144.75436 -37.930930000000004)"
2602,Runway Centreline,5,J5505,2006-05-09,,1004022,706,,0.009212627204,"LINESTRING (144.74686 -37.93628, 144.75436 -37.930930000000004)"
2603,Runway Centreline,5,J5505,2006-05-09,,1004023,706,,0.00174734083682,"LINESTRING (145.09966 -37.97337, 145.0995 -37.97163)"
2604,Runway Centreline,5,J5505,2006-05-09,,1004024,706,,0.00113172434806,"LINESTRING (145.09888 -37.97255, 145.09966 -37.97337)"
2605,Runway Centreline,5,J5505,2006-05-09,,1004025,706,,0.00250635193061,"LINESTRING (145.10477 -37.97516, 145.10273999999998 -37.97663)"
2606,Runway Centreline,5,J5505,2006-05-09,,1004026,706,,0.00448486343157,"LINESTRING (145.09966 -37.97337, 145.10273999999998 -37.97663)"
2607,Runway Centreline,5,J5505,2006-05-09,,1004027,706,,0.00325038459262,"LINESTRING (145.10273999999998 -37.97663, 145.10011 -37.97854)"
2608,Runway Centreline,5,J5505,2006-05-09,,1004028,706,,0.00518954718641,"LINESTRING (145.10011 -37.97854, 145.09966 -37.97337)"
2609,Runway Centreline,5,J5505,2006-05-09,,1004029,706,,0.00181011049387,"LINESTRING (145.10011 -37.97854, 145.09865 -37.97961)"
2626,Runway Centreline,5,D5214,2006-05-09,,1006735,0,,0.0103978122699,"LINESTRING (127.83671 -15.160719999999998, 127.84354 -15.16856)"
2627,Runway Centreline,5,D5214,2006-05-09,,1006736,0,,0.00924062768431,"LINESTRING (129.00616 -15.433419999999998, 129.01512 -15.435679999999998)"
2628,Runway Centreline,5,D5214,2006-05-09,,1006737,0,,0.00879065412811,"LINESTRING (128.53024 -15.499409999999997, 128.5374 -15.504510000000003)"
2629,Runway Centreline,5,D5214,2006-05-09,,1006738,0,,0.0100689224846,"LINESTRING (127.83663 -15.723559999999999, 127.84209 -15.732019999999999)"
2630,Runway Centreline,5,D5214,2006-05-09,,1006739,0,,0.00818740496128,"LINESTRING (128.12308000000002 -15.918669999999999, 128.12988 -15.923229999999997)"
2631,Runway Centreline,5,D5214,2006-05-09,,1006740,0,,0.00827589874274,"LINESTRING (128.42146 -15.979930000000003, 128.41518 -15.985320000000002)"
2632,Runway Centreline,5,D5214,2006-05-09,,1006741,0,,0.00653758365148,"LINESTRING (127.97013 -15.995220000000003, 127.97459 -16)"
2633,Runway Centreline,5,D5214,2006-05-09,,1006742,706,,0.000993227063668,"LINESTRING (128.14959 -15.503909999999998, 128.14951 -15.5049)"
2634,Runway Centreline,5,D5214,2006-05-09,,1006743,706,,0.000626817357763,"LINESTRING (128.14899 -15.504550000000002, 128.14951 -15.5049)"
2635,Runway Centreline,5,D5214,2006-05-09,,1006744,706,,0.0140789204132,"LINESTRING (128.14951 -15.5049, 128.16115 -15.512819999999998)"
2636,Runway Centreline,5,D5214,2006-05-09,,1006745,706,,0.0125348992816,"LINESTRING (128.14951 -15.5049, 128.14845 -15.517389999999999)"
2637,Runway Centreline,5,D5214,2006-05-09,,1006746,706,,0.016936389816,"LINESTRING (128.70194 -15.773620000000001, 128.71677 -15.781799999999997)"
2638,Runway Centreline,5,I5506,2006-05-09,,1006755,706,,0.0147554641426,"LINESTRING (146.36921999999998 -33.2846, 146.37467 -33.28232, 146.37478 -33.28227, 146.38283 -33.2789)"
2639,Runway Centreline,5,G5613,2006-05-09,,1006771,0,,0.00814668644293,"LINESTRING (151.23214000000002 -26.96015, 151.24027999999998 -26.95982)"
2640,Runway Centreline,5,G5613,2006-05-09,,1006772,0,,0.0107836357505,"LINESTRING (150.47668 -27.15851, 150.4764 -27.16929)"
2641,Runway Centreline,5,G5613,2006-05-09,,1006773,0,,0.00697667542601,"LINESTRING (150.26668999999998 -27.74534, 150.26042999999999 -27.74226)"
2642,Runway Centreline,5,G5613,2006-05-09,,1006774,0,,0.00942067938102,"LINESTRING (150.04609 -27.89133, 150.03983 -27.89837)"
2643,Runway Centreline,5,G5613,2006-05-09,,1006775,0,,0.00730694190478,"LINESTRING (150.47021999999998 -27.77626, 150.46389 -27.77991)"
2644,Runway Centreline,5,G5613,2006-05-09,,1006776,0,,0.00908643494447,"LINESTRING (151.09982 -27.98033, 151.0973 -27.98906)"
2645,Runway Centreline,5,G5613,2006-05-09,,1006777,0,,0.012076444013,"LINESTRING (151.2682 -27.85529, 151.27594 -27.86456)"
2646,Runway Centreline,5,G5613,2006-05-09,,1006778,0,,0.0068145872949,"LINESTRING (151.32518 -27.69511, 151.31949 -27.69886)"
2647,Runway Centreline,5,G5613,2006-05-09,,1006779,0,,0.00977719796261,"LINESTRING (151.2032 -27.45536, 151.20940000000002 -27.46292)"
2648,Runway Centreline,5,G5613,2006-05-09,,1006780,0,,0.00929313725283,"LINESTRING (151.20940000000002 -27.46292, 151.2153 -27.4701)"
2649,Runway Centreline,5,G5613,2006-05-09,,1006781,0,,0.00955477890902,"LINESTRING (151.20147 -27.46825, 151.20940000000002 -27.46292)"
2650,Runway Centreline,5,G5613,2006-05-09,,1006782,0,,0.00573006980758,"LINESTRING (151.20940000000002 -27.46292, 151.21416 -27.45973)"
2651,Runway Centreline,5,G5613,2006-05-09,,1006783,0,,0.00911002195384,"LINESTRING (151.55644999999998 -27.3834, 151.5475 -27.3817)"
2652,Runway Centreline,5,G5613,2006-05-09,,1006784,0,,0.00925817476613,"LINESTRING (151.51136 -27.34693, 151.51893 -27.35226)"
2653,Runway Centreline,5,G5613,2006-05-09,,1006785,0,,0.0095730559384,"LINESTRING (151.11148 -27.19317, 151.12093 -27.1947)"
2654,Runway Centreline,5,G5613,2006-05-09,,1006786,0,,0.00712932675644,"LINESTRING (150.27963 -27.6073, 150.28291000000002 -27.60097)"
2655,Runway Centreline,5,G5613,2006-05-09,,1006787,0,,0.00584071913381,"LINESTRING (151.25928 -27.15437, 151.2634 -27.15851)"
2656,Runway Centreline,5,G5613,2006-05-09,,1006788,0,,0.00591142960714,"LINESTRING (151.2634 -27.15851, 151.26757 -27.1627)"
2657,Runway Centreline,5,G5613,2006-05-09,,1006789,0,,0.00418570185274,"LINESTRING (151.26664 -27.15586, 151.2634 -27.15851)"
2658,Runway Centreline,5,G5613,2006-05-09,,1006790,0,,0.00409213880506,"LINESTRING (151.2634 -27.15851, 151.26024 -27.16111)"
2667,Runway Centreline,5,F5515,2006-05-09,,1007924,706,,0.0113152021635,"LINESTRING (148.17798 -23.56992, 148.18875 -23.56645)"
2668,Runway Centreline,5,F5515,2006-05-09,,1007925,706,,0.00703957385073,"LINESTRING (148.17128 -23.57208, 148.17798 -23.56992)"
2669,Runway Centreline,5,F5515,2006-05-09,,1007926,706,,0.00542973295843,"LINESTRING (148.17798 -23.56992, 148.17516 -23.56528)"
4162,Runway Centreline,5,K5523,2006-05-09,,9483939,706,,0.00543737068813,"LINESTRING (147.4837 -42.83053, 147.47839 -42.82936)"
4167,Runway Centreline,5,K5523,2006-05-09,,9483944,706,,0.0241665429882,"LINESTRING (147.5215 -42.84335, 147.50207 -42.82898)"
4169,Runway Centreline,5,K5523,2006-05-09,,9483946,706,,0.00909555278497,"LINESTRING (147.47347 -42.82171, 147.47713 -42.82739, 147.47839 -42.82936)"
4171,Runway Centreline,5,K5523,2006-05-09,,9483948,706,,0.00051312766443,"LINESTRING (147.47839 -42.82936, 147.47867 -42.82979)"
4173,Runway Centreline,5,K5523,2006-05-09,,9483950,706,,0.00619446616147,"LINESTRING (147.47839 -42.82936, 147.47361999999998 -42.82831, 147.47234 -42.82803)"
100,Runway Centreline,5,H5101,2006-05-09,,1005727,0,,0.00765277727364,"LINESTRING (121.08463 -27.98806, 121.09208 -27.98981)"
101,Runway Centreline,5,H5101,2006-05-09,,1005728,0,,0.0012952219887,"LINESTRING (121.09208 -27.98981, 121.09334 -27.99011)"
102,Runway Centreline,5,H5101,2006-05-09,,1005729,0,,0.00286700191839,"LINESTRING (121.09334 -27.99011, 121.09613 -27.99077)"
103,Runway Centreline,5,H5101,2006-05-09,,1005730,0,,0.00238134415825,"LINESTRING (121.19939 -28.39704, 121.19931 -28.39466)"
1379,Runway Centreline,5,I5601,2006-05-09,,1006562,706,,0.00393279798618,"LINESTRING (151.20834 -32.653130000000004, 151.20904000000002 -32.64926)"
1380,Runway Centreline,5,I5601,2006-05-09,,1006563,706,,0.00501776842829,"LINESTRING (151.20904000000002 -32.64926, 151.20992 -32.64432)"
1381,Runway Centreline,5,I5601,2006-05-09,,1006564,706,,0.0017623280058,"LINESTRING (151.20837 -32.64763, 151.20904000000002 -32.64926)"
1382,Runway Centreline,5,I5601,2006-05-09,,1006565,706,,0.00244934685171,"LINESTRING (151.20904000000002 -32.64926, 151.20996 -32.65153)"
1383,Runway Centreline,5,I5601,2006-05-09,,1006566,0,,0.00718390562298,"LINESTRING (150.11065 -32.060159999999996, 150.10891 -32.05319)"
