NAME,geometry
ESPERANCE AERODROME,"LINESTRING (13561795.29307209 -3985816.2122385832, 13561510.315238338 -3986335.261525598)"
ESPERANCE AERODROME,"LINESTRING (13561510.315238338 -3986335.261525598, 13561046.113063954 -3987183.4491807334)"
COFFS HARBOUR AIRPORT,"LINESTRING (17045327.88868159 -3545276.660607423, 17043718.208824392 -3547146.775373874)"
ARMIDALE AIRPORT,"LINESTRING (16878842.92859169 -3571164.3321053884, 16877067.38281592 -3572248.612054208)"
KINGSCOTE AERODROME,"LINESTRING (15308941.059309913 -4262249.15022897, 15309650.164430426 -4260453.099715932)"
AVALON AIRPORT,"LINESTRING (16082262.937508885 -4583275.587896164, 16081745.30164722 -4587111.695788512)"
WILUNA AERODROME,"LINESTRING (13382369.413775543 -3076873.1980778333, 13383497.08015736 -3078556.8853807054)"
GRAFTON AIRPORT,"LINESTRING (17035479.463038936 -3471214.889492903, 17035339.200304046 -3472901.0470383675)"
GRAFTON AIRPORT,"LINESTRING (17035467.217913147 -3471068.7235137243, 17035282.427354623 -3473039.5397661403)"
GLEN INNES AERODROME,"LINESTRING (16885640.107873216 -3460814.309011022, 16886384.835009765 -3462360.724924302)"
PARKES AERODROME,"LINESTRING (16502105.504088249 -3912723.1775376946, 16502588.630642926 -3912378.890841353)"
PARKES AERODROME,"LINESTRING (16502105.504088249 -3912723.1775376946, 16500975.611491991 -3911945.5557842394)"
PARKES AERODROME,"LINESTRING (16502496.235419586 -3912991.701700107, 16502105.504088249 -3912723.1775376946)"
PARKES AERODROME,"LINESTRING (16500966.705780786 -3913535.415359689, 16502105.504088249 -3912723.1775376946)"
BIRCHIP AERODROME,"LINESTRING (15909210.161421677 -4300560.37396707, 15910150.81101792 -4299835.258462261)"
BIRCHIP AERODROME,"LINESTRING (15909189.010718767 -4300603.029331767, 15910119.641563077 -4299869.655637315)"
BIRCHIP AERODROME,"LINESTRING (15909210.161421677 -4300560.37396707, 15910150.81101792 -4299835.258462261)"
DONALD AERODROME,"LINESTRING (15919283.456820361 -4350230.011411029, 15920615.950891057 -4350402.802513888)"
ST ARNAUD AERODROME,"LINESTRING (15939316.506174123 -4388585.868440339, 15939160.658822317 -4389791.4742232915)"
